,Pos.,Points,Rider,Nation,Team,Bike,Km/h,Time,Time/Gap 1st,Gap 1st/prev,Unnamed: 10,Unnamed: 11
0,1,25,63 FrancescoBagnaia Ducati Lenovo Team,41'18.9230  175.1,,,,,,,,
1,2,20,20 FabioQuartararo Monster Energy Yamaha MotoGP,+0.635  175.1,,,,,,,,
2,3,16,41 AleixEspargaro Aprilia Racing,+1.983  175,,,,,,,,
3,4,13,5 JohannZarco Prima Pramac Racing,+2.590  175,,,,,,,,
4,5,11,72 MarcoBezzecchi Mooney VR46 Racing Team,+3.067  174.9,,,,,,,,
5,6,10,10 LucaMarini Mooney VR46 Racing Team,+3.875  174.9,,,,,,,,
6,7,9,33 BradBinder Red Bull KTM Factory Racing,+4.067  174.9,,,,,,,,
7,8,8,30 TakaakiNakagami LCR Honda IDEMITSU,+10.944  174.4,,,,,,,,
8,9,7,88 MiguelOliveira Red Bull KTM Factory Racing,+11.256  174.3,,,,,,,,
9,10,6,93 MarcMarquez Repsol Honda Team,+11.800  174.3,,,,,,,,
10,11,5,49 FabioDi Giannantonio Gresini Racing MotoGP,+12.916  174.2,,,,,,,,
11,12,4,12 MaverickViñales Aprilia Racing,+12.917  174.2,,,,,,,,
12,13,3,89 JorgeMartin Prima Pramac Racing,+17.240  173.9,,,,,,,,
13,14,2,73 AlexMarquez LCR Honda CASTROL,+17.568  173.9,,,,,,,,
14,15,1,43 JackMiller Ducati Lenovo Team,+17.687  173.9,,,,,,,,
15,16,,40 DarrynBinder WithU Yamaha RNF MotoGP Team,+20.265  173.7,,,,,,,,
16,17,,21 FrancoMorbidelli Monster Energy Yamaha MotoGP,+20.296  173.7,,,,,,,,
17,18,,51 MichelePirro Aruba.it Racing,+21.305  173.6,,,,,,,,
18,19,,87 RemyGardner Tech3 KTM Factory Racing,+30.548  173,,,,,,,,
19,20,,4 AndreaDovizioso WithU Yamaha RNF MotoGP™ Team,+31.011  173,,,,,,,,
20,21,,25 RaulFernandez Tech3 KTM Factory Racing,+42.723  172.2,,,,,,,,
21,22,,32 LorenzoSavadori Aprilia Racing,1 laps  164.9,,,,,,,,
22,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders,Non-classified riders
23,,,23 EneaBastianini Gresini Racing MotoGP,10 laps,,,,,,,,
24,,,36 JoanMir Team SUZUKI ECSTAR,16 laps,,,,,,,,
25,,,42 AlexRins Team SUZUKI ECSTAR,16 laps,,,,,,,,
26,,,44 PolEspargaro Repsol Honda Team,19 laps,,,,,,,,
